"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",1,12,8,18,21,3,6,0,18,6,4,8,13,2,7,16,7,21,4,14
"2",6,3,1,0,0,0,13,23,3,1,22,13,4,24,19,8,8,0,6,31
"3",2,5,2,6,4,6,1,13,27,2,0,5,0,9,17,21,9,26,33,0
"4",0,18,4,24,0,22,15,8,8,8,6,25,21,8,0,40,21,6,13,1
"5",4,35,5,15,3,1,19,6,4,0,36,4,28,8,9,4,27,22,0,8
"6",14,3,0,1,5,0,17,3,32,4,15,2,20,3,8,0,6,38,4,6
"7",3,19,12,5,0,14,6,7,23,5,26,3,12,7,11,17,15,18,15,0
"8",4,0,3,15,20,7,22,3,19,6,4,4,5,10,7,0,19,6,11,13
"9",11,18,9,10,4,11,8,0,0,10,9,5,1,3,6,5,3,23,37,8
"10",7,7,6,16,5,6,0,12,6,2,14,7,3,11,5,5,6,0,43,10
"11",13,18,8,7,4,17,9,6,25,19,23,4,3,8,5,0,6,4,5,6
"12",24,4,13,10,19,0,14,0,9,1,3,1,19,7,5,9,18,10,3,5
"13",0,13,25,1,8,5,11,9,7,4,5,0,5,0,2,20,3,4,41,16
"14",0,13,5,6,9,8,7,13,28,1,11,3,5,1,1,11,9,0,9,7
"15",12,7,11,0,1,7,1,34,9,8,5,1,3,17,5,2,3,15,1,5
"16",3,6,30,2,2,1,31,3,3,7,6,6,15,27,0,4,35,1,0,6
"17",4,1,30,3,4,3,15,1,8,3,0,8,3,3,5,20,0,4,7,1
"18",6,5,2,27,5,1,11,9,8,6,2,19,16,23,25,12,1,7,1,15
"19",12,5,3,1,4,9,0,0,11,3,6,17,1,1,4,9,31,1,33,5
"20",3,2,22,1,12,0,3,4,21,11,1,35,2,7,14,14,15,7,6,24
"21",48,7,17,2,8,9,24,36,11,3,3,21,15,3,3,7,0,1,3,4
"22",6,4,4,6,29,36,2,6,0,2,2,14,0,18,2,13,5,4,4,6
"23",49,4,11,0,2,6,2,0,19,4,17,25,1,1,2,23,13,7,31,7
"24",2,0,8,0,14,12,4,2,4,15,1,3,2,0,5,1,9,28,0,21
"25",12,8,4,18,11,3,19,7,7,13,6,7,6,21,6,2,10,18,2,9
"26",7,19,1,0,9,24,1,13,20,9,7,25,0,1,1,11,2,0,4,5
"27",13,5,25,17,6,1,6,5,1,0,0,6,15,17,51,3,11,10,15,10
"28",2,14,9,1,11,4,0,1,24,26,24,43,3,8,3,4,10,31,7,0
"29",2,14,5,5,9,5,7,3,9,13,7,10,3,30,6,5,30,6,5,2
"30",12,22,27,3,13,1,6,5,20,8,0,1,7,12,8,7,3,9,2,32
